GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
psi-probe-core,psiprobe.tools.logging.log4j,Log4JLoggerAccessor,197,3,10,0,43,1,14,1,9,1
psi-probe-core,psiprobe.tools.logging.log4j,Log4JAppenderAccessor,103,10,6,0,13,4,12,3,9,3
psi-probe-core,psiprobe.tools.logging.log4j,Log4JManagerAccessor,229,0,8,0,48,0,8,0,4,0
psi-probe-core,psiprobe.controllers.error,Error403Controller,29,24,4,0,5,10,4,7,2,7
psi-probe-core,psiprobe.controllers.error,Error404Controller,5,7,0,0,1,3,1,2,1,2
psi-probe-core,psiprobe.tools.logging.commons,GetSingleDestinationVisitor,31,0,4,0,12,0,6,0,4,0
psi-probe-core,psiprobe.tools.logging.commons,AbstractLoggerAccessorVisitor,85,0,12,0,25,0,8,0,2,0
psi-probe-core,psiprobe.tools.logging.commons,CommonsLoggerAccessor,38,0,0,0,11,0,3,0,3,0
psi-probe-core,psiprobe.tools.logging.commons,GetAllDestinationsVisitor,25,0,0,0,7,0,4,0,4,0
psi-probe-core,psiprobe.tools.logging.slf4jlogback13,TomcatSlf4jLogback13AppenderAccessor,101,10,8,0,17,4,13,3,9,3
psi-probe-core,psiprobe.tools.logging.slf4jlogback13,TomcatSlf4jLogback13FactoryAccessor,225,0,8,0,49,0,9,0,5,0
psi-probe-core,psiprobe.tools.logging.slf4jlogback13,TomcatSlf4jLogback13LoggerAccessor,266,3,20,0,63,1,20,1,10,1
psi-probe-core,psiprobe.controllers.logs,ListLogsController,33,21,2,0,6,9,3,6,2,6
psi-probe-core,psiprobe.controllers.logs,FollowedFileInfoController,14,7,0,0,2,3,2,2,2,2
psi-probe-core,psiprobe.controllers.logs,SetupFollowController,25,7,0,0,4,3,2,2,2,2
psi-probe-core,psiprobe.controllers.logs,ChangeLogLevelController,93,7,16,0,25,3,10,2,2,2
psi-probe-core,psiprobe.controllers.logs,DownloadLogController,53,11,4,0,10,4,4,3,2,3
psi-probe-core,psiprobe.controllers.logs,AbstractLogHandlerController,105,14,12,0,20,5,7,4,1,4
